variant,n,ok,errors,types,instantiations,memoryK,checkMs,totalMs,wallMs
D,10,true,0,4716,6154,28730,5,28,58
D,100,true,0,7277,17232,32180,14,36,66
D,300,true,0,12982,41707,40268,31,55,87
D,600,true,0,21528,78421,51973,58,81,117
D,900,true,0,30082,115207,63601,89,112,147
E,10,true,0,3137,3249,27696,3,26,55
E,100,true,0,5162,8694,31365,12,35,65
E,300,true,0,9662,20791,41147,67,91,121
E,600,true,0,16412,38941,61635,239,261,297
E,900,true,0,23162,57091,86384,513,536,573
