n,tsgoOk,errors,types,instantiations,memoryK,checkMs,wallMs,tscOk,tscInst,tscNote
10,true,0,3852,4877,27340,2,54,true,3834,"ok"
100,true,0,5472,15017,28960,8,60,true,13974,"ok"
300,true,0,9083,37619,32232,25,77,true,36576,"ok"
600,true,0,14484,71391,36990,64,118,true,70348,"ok"
900,true,0,19883,105219,42345,122,181,true,104176,"ok"
