variant,n,ok,errors,types,instantiations,memoryK,checkMs,totalMs,wallMs
I,10,true,0,4777,7265,29196,4,27,54
I,100,true,0,7706,25593,33481,13,34,64
I,300,true,0,14206,66042,43262,34,55,86
I,600,true,0,23948,126732,57651,67,89,123
I,900,true,0,33706,187542,71684,101,125,161
J,10,true,0,3451,3750,27996,3,25,54
J,100,true,0,5881,11040,33017,22,45,74
J,300,true,0,11280,27237,52208,158,180,205
J,600,true,0,19380,51537,103883,655,678,717
J,900,true,0,27480,75837,170142,1529,1551,1590
